CustomerID,tenure,MonthlyCharges,TotalCharges,Contract,InternetService,PaymentMethod,Churn
0001-AABCD,1,29.85,29.85,Month-to-month,DSL,Electronic check,No
0002-BCDFE,34,56.95,1889.5,One year,Fiber optic,Mailed check,No
0003-CDEFG,2,53.85,108.15,Month-to-month,DSL,Mailed check,Yes
0004-DEFGH,45,42.30,1840.75,One year,No,Bank transfer,No
0005-EFGHI,2,70.70,151.65,Month-to-month,Fiber optic,Electronic check,Yes
0006-FGHIJ,8,99.65,820.50,Month-to-month,Fiber optic,Electronic check,Yes
0007-GHIJK,22,89.10,1949.40,Two year,Fiber optic,Credit card,No
0008-HIJKL,10,29.75,301.90,Month-to-month,DSL,Electronic check,No
0009-IJKLM,28,104.80,3046.05,Month-to-month,Fiber optic,Electronic check,Yes
0010-JKLMN,62,56.15,3487.95,Two year,DSL,Bank transfer,No
0011-KLMNO,13,49.95,587.45,Month-to-month,No,Mailed check,No
0012-LMNOP,16,18.95,326.80,Two year,No,Bank transfer,No
0013-MNOPQ,58,100.35,5681.10,Two year,Fiber optic,Credit card,No
0014-NOPQR,49,25.35,1372.90,Two year,No,Bank transfer,No
0015-OPQRS,25,81.70,2046.50,One year,Fiber optic,Electronic check,Yes
0016-PQRST,69,79.70,5345.50,Two year,DSL,Credit card,No
0017-QRSTU,52,59.60,3180.40,One year,Fiber optic,Credit card,No
0018-RSTUV,71,66.70,4846.30,Two year,DSL,Bank transfer,No
0019-STUVW,1,34.30,34.30,Month-to-month,Fiber optic,Electronic check,Yes
0020-TUVWX,14,79.85,1149.65,Month-to-month,Fiber optic,Electronic check,Yes
0021-UVWXY,3,24.55,88.45,Month-to-month,No,Mailed check,Yes
0022-VWXYZ,72,19.85,1416.50,Two year,No,Bank transfer,No
0023-WXYZA,53,79.65,4183.20,Two year,Fiber optic,Credit card,No
0024-XYZAB,30,44.55,1282.50,One year,DSL,Electronic check,No
0025-YZABC,5,89.10,450.50,Month-to-month,Fiber optic,Electronic check,Yes
0026-ZABCD,72,89.25,6471.35,Two year,Fiber optic,Credit card,No
0027-ABCDE,4,47.80,196.30,Month-to-month,DSL,Electronic check,Yes
0028-BCDEF,11,60.05,651.35,Month-to-month,Fiber optic,Electronic check,Yes
0029-CDEFH,68,85.70,5765.40,Two year,Fiber optic,Bank transfer,No
0030-DEFGI,64,51.90,3370.55,Two year,DSL,Credit card,No
0031-EFGHJ,3,74.65,234.90,Month-to-month,Fiber optic,Mailed check,Yes
0032-FGHIK,72,95.45,6823.65,Two year,Fiber optic,Credit card,No
0033-GHIJL,21,36.90,738.05,Month-to-month,DSL,Electronic check,No
0034-HIJKM,36,90.55,3326.95,One year,Fiber optic,Bank transfer,No
0035-IJKLN,1,29.10,29.10,Month-to-month,No,Mailed check,Yes
0036-JKLMO,55,69.85,3863.35,Two year,DSL,Credit card,No
0037-KLMNP,9,103.70,927.60,Month-to-month,Fiber optic,Electronic check,Yes
0038-LMNOQ,72,109.70,7895.15,Two year,Fiber optic,Credit card,No
0039-MNOPR,18,74.45,1320.80,Month-to-month,Fiber optic,Electronic check,Yes
0040-NOPQS,26,54.85,1416.60,One year,DSL,Bank transfer,No
0041-OPQRT,72,46.95,3420.50,Two year,No,Credit card,No
0042-PQRSU,5,56.00,289.40,Month-to-month,DSL,Electronic check,Yes
0043-QRSTV,44,19.85,876.80,One year,No,Mailed check,No
0044-RSTUW,38,94.90,3620.05,Two year,Fiber optic,Credit card,No
0045-STUVX,6,99.45,614.30,Month-to-month,Fiber optic,Electronic check,Yes
0046-TUVWY,67,48.20,3218.05,Two year,DSL,Bank transfer,No
0047-UVWXZ,2,85.25,176.95,Month-to-month,Fiber optic,Electronic check,Yes
0048-VWXYA,72,24.40,1734.65,Two year,No,Bank transfer,No
0049-WXYAB,28,80.65,2216.50,One year,Fiber optic,Bank transfer,No
0050-XYABC,1,54.00,54.00,Month-to-month,Fiber optic,Electronic check,Yes
